subject_name,course_name,absolute_course_url
Mathematics Courses,Introduction to Algebraic Geometry and Commutative Algebra,https://www.classcentral.com/course/youtube-introduction-to-algebraic-geometry-and-commutative-algebra-47488/classroom
Mathematics Courses,Commutative Algebra,https://www.classcentral.com/course/youtube-jan-2019-commutative-algebra-47511/classroom
Mathematics Courses,Basic Calculus 1 and 2,https://www.classcentral.com/course/youtube-basic-calculus-1-and-2-47311/classroom
Mathematics Courses,Computational Commutative Algebra,https://www.classcentral.com/course/youtube-computational-commutative-algebra-47385/classroom
Mathematics Courses,Vector Calculus for Engineers,https://www.classcentral.com/course/youtube-vector-calculus-for-engineers-54534/classroom
Mathematics Courses,Math in Real Life,https://www.classcentral.com/course/youtube-math-in-real-life-53411/classroom
Mathematics Courses,Math of the impossible,https://www.classcentral.com/course/youtube-math-of-the-impossible-53396/classroom
Mathematics Courses,Statistical Rethinking,https://www.classcentral.com/course/youtube-statistical-rethinking-winter-2019-53066/classroom
Mathematics Courses,Functions Class 12 IIT JEE Mathematics,https://www.classcentral.com/course/youtube-functions-playlist-class-12-unacademy-jee-live-daily-iit-jee-mathematics-sameer-chincholikar-54315/classroom
Mathematics Courses,Trigonometry Class 11 IIT JEE Mathematics,https://www.classcentral.com/course/youtube-trigonometry-playlist-class-11-unacademy-jee-trig-54314/classroom
Mathematics Courses,Matrices & Determinants Class 12 IIT JEE Mathematics,https://www.classcentral.com/course/youtube-matrices-determinants-playlist-class-12-unacademy-jee-54311/classroom
Mathematics Courses,"Limits, Continuity & Differentiability Class 12 IIT JEE Mathematics",https://www.classcentral.com/course/youtube-limits-continuity-differentiability-playlist-class-12-maths-54308/classroom
Mathematics Courses,Permutation & Combination Class 11 IIT JEE Mathematics,https://www.classcentral.com/course/youtube-permutation-combination-unacademy-jee-54312/classroom
Mathematics Courses,Indefinite Integration Class 12 IIT JEE Mathematics,https://www.classcentral.com/course/youtube-indefinite-integration-playlist-class-12-math-54317/classroom
Mathematics Courses,Intro Algebra Review,https://www.classcentral.com/course/udacity-intro-algebra-review-2666
Mathematics Courses,Precalculus: Relations and Functions,https://www.classcentral.com/course/precalculus-relations-functions-21858
Mathematics Courses,Calculus through Data & Modeling: Precalculus Review,https://www.classcentral.com/course/calculus-through-data-and-modelling-precalculus-r-27987
Mathematics Courses,Precalculus: Mathematical Modeling,https://www.classcentral.com/course/precalculus-mathematical-modelling-21860
Mathematics Courses,Precalculus: Periodic Functions,https://www.classcentral.com/course/precalculus-periodic-functions-21859
Mathematics Courses,What are the Chances? Probability and Uncertainty in Statistics,https://www.classcentral.com/course/chances-probability-uncertainty-statistics-22209
Mathematics Courses,Calculus through Data & Modeling: Limits & Derivatives,https://www.classcentral.com/course/calculus-through-data-and-modelling-imits-derivat-27983
Mathematics Courses,Calculus through Data & Modeling: Differentiation Rules,https://www.classcentral.com/course/calculus-through-data-and-modelling-differentiati-27984
Mathematics Courses,Calculus through Data & Modeling: Applying Differentiation,https://www.classcentral.com/course/calculus-through-data-and-modelling-applying-diff-27982
Mathematics Courses,College Algebra and Problem Solving,https://www.classcentral.com/course/edx-college-algebra-and-problem-solving-4065
Mathematics Courses,Statistics for Business – I,https://www.classcentral.com/course/edx-statistics-for-business-i-3640
Mathematics Courses,Causal Inference,https://www.classcentral.com/course/causal-inference-12136
Mathematics Courses,Causal Inference  2,https://www.classcentral.com/course/causal-inference-2-13095
Mathematics Courses,Linear Algebra IV: Orthogonality & Symmetric Matrices and the SVD,https://www.classcentral.com/course/edx-linear-algebra-iv-orthogonality-symmetric-matrices-and-the-svd-20934
Mathematics Courses,Precalculus,https://www.classcentral.com/course/edx-precalculus-8489
Mathematics Courses,Statistics by CrashCourse,https://www.classcentral.com/course/youtube-statistics-45832/classroom
Mathematics Courses,18.03x Differential Equations,https://www.classcentral.com/course/mitx-1803x-differential-equations-18498
Mathematics Courses,18.01x Single Variable Calculus,https://www.classcentral.com/course/mitx-1801x-single-variable-calculus-18499
Mathematics Courses,Statistics,https://www.classcentral.com/course/udacity-statistics-631
